id_estudio,fecha_estudio,tipo_estudio,concesion,yacimiento,empresa,caja,ubicacion,administrador,fecha_ingreso,fecha_data,objeto_estudio,nombre_objeto,observaciones
2390,2003-04-01,Monitoreo de obras y tareas,ACAMBUCO,,YPF S.A.,"",,"",2006-07-24,2006-07-24,Area costa adentro,Acambuco,
908,1996-10-29,Estudio ambiental,VALLE DEL RIO GRANDE,,YPF S.A.,35,Oficina 621,"",2006-07-24,2006-07-24,Pozo terrestre,EL PASILLO X-1,
67,1993-11-20,Estudio ambiental base,VEGA GRANDE,,PETROQUIMICA COMODORO RIVADAVIA S.A.,"",Oficina 615,"",2006-07-24,2006-07-24,Area costa adentro,Vega Grande,
266,1993-08-15,Estudio ambiental,,,COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.,"",Oficina 615,"",2006-07-24,2006-07-24,Area costa adentro,Anticlinal Campamento,
1041,1997-04-03,Monitoreo de obras y tareas,,,A.E.C. Argentina S.A.,BB,Oficina 621,"",2006-07-24,2006-07-24,Area costa adentro,1TICLINAL CAMPAMENTO,Expte 750-001400/97
793,1996-04-01,Monitoreo de obras y tareas,,,A.E.C. Argentina S.A.,II,Oficina 621,"",2006-07-24,2006-07-24,Area costa adentro,COVUNCO 1TICLINAL CAMPAMENTO EST1CIA VIEJA,
1342,1998-06-29,Monitoreo de obras y tareas,,,A.E.C. Argentina S.A.,pp,Oficina 621,"",2006-07-24,2006-07-24,Area costa adentro,Anticlinal Campamento,
1569,1999-04-14,Monitoreo de obras y tareas,,,A.E.C. Argentina S.A.,AB,Oficina 621,"",2006-07-24,2006-07-24,Area costa adentro,Anticlinal Campamento,
1813,2000-06-15,Monitoreo de obras y tareas,,,A.E.C. Argentina S.A.,"",Oficina 621,"",2006-07-24,2006-07-24,Area costa adentro,Anticlinal Campamento,
2063,2001-05-31,Monitoreo de obras y tareas,,,A.E.C. Argentina S.A.,"",,"",2006-07-24,2006-07-24,Area costa adentro,Anticlinal Campamento,
1966,2001-03-05,Estudio ambiental,,,A.E.C. Argentina S.A.,"",Oficina 617,"",2006-07-24,2006-07-24,Instalaci¢n,Planta de tratamiento de gas,
1603,1999-04-30,Estudio ambiental,,,A.E.C. Argentina S.A.,53,Oficina 621,"",2006-07-24,2006-07-24,Pozo terrestre,NAC x-2001,
1826,2000-07-06,Estudio ambiental,,,A.E.C. Argentina S.A.,61,Oficina 621,"",2006-07-24,2006-07-24,Pozo terrestre,NAC 2003,
1826,2000-07-06,Estudio ambiental,,,A.E.C. Argentina S.A.,61,Oficina 621,"",2006-07-24,2006-07-24,Pozo terrestre,nac 2004,
1826,2000-07-06,Estudio ambiental,,,A.E.C. Argentina S.A.,61,Oficina 621,"",2006-07-24,2006-07-24,Pozo terrestre,NAC 2006,
2207,2002-04-03,Monitoreo de obras y tareas,,,PIONEER NATURAL RESOURCES (ARG) S.A.,"",,"",2006-07-24,2006-07-24,Area costa adentro,Anticlinal Campamento,
102,1994-02-07,Estudio ambiental,,,COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.,-4,Oficina 621,"",2006-07-24,2006-07-24,Pozo terrestre,Alpataco Negro x-1,
815,1996-04-08,Monitoreo de obras y tareas,,,Amoco Argentina Oil S.A.,O,Oficina 621,"",2006-07-24,2006-07-24,Area costa adentro,CERRO DRAGON,
